Model,Best Score,Best Params
LogisticRegression,0.8989583333333332,"{'classifier__C': 10, 'classifier__max_iter': 1000, 'classifier__solver': 'lbfgs'}"
RandomForest,0.9697916666666668,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}"
XGBoost,0.965625,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}"
SVM,0.9583333333333334,"{'classifier__C': 10, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}"
KNN,0.9395833333333332,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 3, 'classifier__weights': 'uniform'}"
